FromY,ToY,MeanY,ClassName,ClassValue,DEL,DES,Ellenallas10,Ellenallas40,Gamma,Laterolog,Magneses,Neutron,Nyiro,Primer,Tavolsag,TermPot
819.55,820.15,-819.85,agyagkő,6,2.6199999,2.6099999,81.4700012,159.1999969,19.2299995,310.3370056,-2.82093,28.8199997,2493.590088,4576.399902,-819.8,2118
820.15,820.22,-820.185,agyagkő,6,2.6900001,2.6300001,165.2799988,313.269989,17.6599998,785.6399536,-2.8696301,22.6499996,2582.919922,4950.459961,-820.2,2115
820.22,820.34,-820.28,agyagkő,6,2.71,2.6300001,171.0699921,373.1000061,20.7299995,593.6069946,-2.86219,22.7299995,2623.350098,4740.049805,-820.3,2004
820.34,820.55,-820.445,breccsa,5,2.6600001,2.6500001,163.2200012,410.039978,22.9799995,429.5200195,-2.85952,23.6800003,2678.52002,4563.629883,-820.4,1974
820.55,820.7,-820.625,agyagkő,6,2.6300001,2.6500001,158.6799927,405.5100098,23.3600006,583.3569946,-2.8436601,28.0499992,2620.27002,4560.029785,-820.6,2233
820.7,820.9,-820.8,breccsa,5,2.6600001,2.6400001,150.9799957,384.8500061,23.6599998,438.5820007,-2.8486199,29.3700008,2631.909912,4605.870117,-820.8,2062
820.9,820.95,-820.925,agyagkő,6,2.6700001,2.6300001,141.7299957,377.8999939,21.6700001,360.2900085,-2.8578999,29.5300007,2685.179932,4655.709961,-820.9,1997
820.95,821.97,-821.46,breccsa,5,2.5899999,2.6199999,143.6499939,311.9400024,21.5799999,507.6000061,-2.8518,28.3299999,2637.300049,4534.439941,-821.5,1604
821.97,822.14,-822.055,agyagkő,6,2.7,2.6099999,124.5899963,241.2400055,22.0599995,498.1870117,-2.8534601,29.8099995,2608.25,4461.669922,-822.1,1746
822.14,822.22,-822.18,breccsa,5,2.6700001,2.6199999,121.659996,237.4499969,21.6900005,418.2000122,-2.8594601,29.2299995,2575.5,4431.640137,-822.2,1973
822.22,822.45,-822.335,aleurolit,7,2.6800001,2.6300001,112.2300034,243.2599945,22.0900002,315.2730103,-2.8666501,29.2800007,2570.449951,4490.149902,-822.3,2041
